pedido_id,codigo,descricao,quantidade,valor_unitario,total_item
25157499711,TAT-50x50-15-AZ,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Azul,3,17,51
25157499711,ARCO-IRIS-30x30-10MM,Arco-Íris Divertido de EVA – Encaixe de Formas e Cores,1,38.9,38.9
25155825850,MAX50X50X20-MR,EVA MAX - Tatame EVA 50x50cm 20mm Cor:Marrom,5,22,110
25155825850,TAT-50x50-20-AZRY,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Azul,5,22,110
25155825850,MAX50X50X20-LR,EVA MAX - Tatame EVA 50x50cm 20mm Cor:Laranja,5,22,110
25155825850,TAT-50x50-20-VRB,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Verde Bandeira,5,22,110
25155444796,GBA505010-K9-1-1,Kit de 4 a 20 Peças - Tatame EVA 50x50cm 20mm - 9 peças - Mais vendido,1,187.2,187.2
25155444796,EVA-ALFA-POTE-138,Pote Didático Alfanumérico EVA – Letras e Números 138 peças,2,36.9,73.8
25149352315,FLUT-100x100-30MM-AM,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Amarelo",1,139.9,139.9
25149352315,FLUT-100x100-30MM-VM,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Vermelho",1,139.9,139.9
25149335547,EVA-NUM-30X30X8-10P,Tapete EVA Numérico Infantil 30x30cm – 8mm (10 Peças),1,55,55
25149335547,EVA-OBJ-30X30-8MM-9P,Tapete EVA Objeto Infantil 30x30cm – 8mm (9 Peças),1,49,49
25148873923,NB-TAT-50x50-20-BRG,NB - Tatame 50x50x20mm Cor:Beringela,4,21,84
25145770895,EVA-ANI-30X30-8MM-09P,Tapete EVA Animais Infantil 30x30cm – 8mm (9 Peças),1,49,49
25139037428,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,4,12,48
25139037428,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,5,12,60
25139036696,CANT-100X4X4-10AD-AM,Cantoneira EVA Auto-Adesiva 100×4×4cm – Proteção de Quinas e Pilares (10mm) Cor:Amarelo,16,12,192
25139035183,CART-MAPA-SUL-8MM,Cartela EVA  - Mapa América do Sul,1,5,5
25139035183,CART-MAPA-BR-8MM,Cartela EVA - Mapa do Brasil,1,5,5
25139035183,EVA-VOG,Cartela EVA  - Jogo das Vogais,1,5,5
25139035183,CART-GEOM-5MM,Cartela EVA  - Formas Geométrica,1,5,5
25139035183,EVA-DDS,Cartela EVA  - Dias da Semana,1,5,5
25139035183,CART-CORPO-8MM,Cartela EVA  - Esqueleto,1,5,5
25139033372,FLUT-200x100-30MM-AZ,"Tapete Flutuante EVA 200x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Azul",1,239.9,239.9
25139030916,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,5,12,60
25139030916,CART-MAPA-SUL-8MM,Cartela EVA  - Mapa América do Sul,1,5,5
25139030916,CART-MAPA-BR-8MM,Cartela EVA - Mapa do Brasil,1,5,5
25145653770,GBA505010-K12,Kit de 4 a 20 Peças - Tatame EVA 50x50cm 10mm - 12 peças - Mais vendido,1,126,126
25131791372,EVA-PASSCID-200100-05,Esteira Passeio pela Cidade em EVA 200×100cm – 5mm (com Alça para Transporte),1,99,99
25130238661,TAT-100x100-30-PT,Monte seu Kit - Tatame EVA 100x100cm 30mm Cor:Preto,2,109,218
25130226362,FLUT-100x100-30MM-LL,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Lilás",1,139.9,139.9
25129946599,TAT-50x50-10-VGM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Grama,1,12,12
25129946599,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,3,12,36
25129946599,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,2,12,24
25129946599,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,2,12,24
25122806474,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,2,12,24
25122806474,TAT-50x50-10-LR,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Laranja,2,12,24
25122806474,TAT-50x50-10-VM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Vermelho,2,12,24
25122806474,TAT-50x50-10-PT,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Preto,2,12,24
25122806474,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,2,12,24
25118485784,TAT-100x100-30-PT,Monte seu Kit - Tatame EVA 100x100cm 30mm Cor:Preto,6,109,654
25115722884,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,12,10.5,126.0
25112670467,FLUT-100x100-30MM-LL,"Tapete Flutuante EVA 100x100cm – 30mm | Piscina, Lazer e Atividades Aquáticas Cor:Lilás",1,139.9,139.9
25111964032,EVA-AMAR-060170-05,Esteira Amarelinha em EVA 170x60cm – 5mm (com Alça para Transporte),1,59,59
25111938169,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,7,12,84
25111938169,EVA-ALFA-POTE-138,Pote Didático Alfanumérico EVA – Letras e Números 138 peças,1,36.9,36.9
25111938169,CART-MULTIPLI-5MM,Cartela EVA - Tabuada de Multiplicação,1,5,5
25111938169,CART-MAPA-BR-8MM,Cartela EVA - Mapa do Brasil,1,5,5
25111938169,CART-NUM-5MM,Cartela EVA  - Números,1,5,5
25111938169,EVA-VOG,Cartela EVA  - Jogo das Vogais,1,5,5
25111394641,GBA505010-K12-1,Kit de 4 a 20 Peças - Tatame EVA 50x50cm 15mm - 12 peças - Mais vendido,1,183.6,183.6
25110661984,MAX50X50X20-LLBB,EVA MAX - Tatame EVA 50x50cm 20mm Cor:Lilas BB,4,22,88
25110661984,TAT-50x50-20-RS,Monte seu Kit - Tatame EVA 50x50cm 20mm Cor:Rosa,4,22,88
25100774003,GBA505010-K4-1-1,Kit de 4 a 20 Peças - Tatame EVA 50x50cm 20mm - 4 peças,1,88,88
25099404746,TAT-50x50-10-AZC,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul Ciano,1,12,12
25097981923,TAT-50x50-10-RS,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa,10,12,120
25097702713,TAT-50x50-10-LL,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás,4,12,48
25097702713,TAT-50x50-10-RS,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa,5,12,60
25092624211,TAT-50x50-10-AZC,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul Ciano,1,12,12
25092624211,TAT-50x50-10-AZBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul BB,1,12,12
25092624211,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,1,12,12
25092624211,TAT-50x50-10-VBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde BB,1,12,12
25092624211,TAT-50x50-10-VGM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Grama,1,12,12
25092624211,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,1,12,12
25090429219,TAT-100x100-10-AZRY,Monte seu Kit - Tatame EVA 100x100cm 10mm Cor:Azul,4,35,140
25090413807,EVA-ALFA-107,EVA Didático Alfanumérico – Letras e Números 107 Peças,1,14.9,14.9
25089392719,TAT-50x50-10-CN,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Cenoura,1,10.8,10.8
25089392719,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,1,10.8,10.8
25089392719,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,1,10.8,10.8
25089392719,TAT-50x50-10-AZC,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul Ciano,1,10.8,10.8
25089392719,TAT-50x50-10-VBB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde BB,1,10.8,10.8
25089392719,TAT-50x50-15-AZBB,Monte seu Kit - Tatame EVA 50x50cm 15mm Cor:Azul BB,1,10.8,10.8
25089392719,TAT-50x50-10-RS,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Rosa,1,10.8,10.8
25089392719,TAT-50x50-10-LL,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Lilás,1,10.8,10.8
25089392719,TAT-50x50-10-AM,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Amarelo,1,10.8,10.8
25076427243,TAT-50x50-10-VRB,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Verde Bandeira,8,12,96
25076416180,TAT-50x50-10-PT,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Preto,14,10,140
25076416180,TAT-50x50-10-AZ,Monte seu Kit - Tatame EVA 50x50cm 10mm Cor:Azul,6,10,60
